1aelA	1ureA
1akzA	1sspE
1aw2A	1aw1B
1bv2A	1uvbA
1c54A	1rghB
1dmoA	3clnA
1e5lA	1e5qA
1ealA	1eioA
1evkA	1evlA
1fmfA	1id8A
1fsfA	1fqoB
1g6wD	1k0bC
1gqnA	1qfeB
1gudA	1rpjA
1hooB	1cg0A
1hsiB	1hshA
1i56A	1el1A
1igpA	2au6A
1ijaA	2kidA
1jejA	1jg6A
1jfjA	1jfkA
1k2hA	1zfsB
1k5hA	1q0qA
1k6wA	1k70A
1l0wB	1g51A
1lipA	1jtbA
1lmzA	1p7mA
1mo7A	1mo8A
1mutA	1punA
1mx7A	1mx8A
1njgB	1njfA
1o1uA	1o1vA
1ormA	1qj8A
1otjD	1gy9A
1pdbA	1yhoA
1pflA	1filA
1rf5A	1rf4A
1rkaA	1gqtA
1rkmA	1b6hA
1s2oA	1tj5A
1sktA	1tnqA
1symB	1xydB
1tfuA	3uc5A
1urpD	2driA
1viyC	1vhlA
1vr6A	1rzmA
1w4uA	1ur6A
1xsaA	1xscA
1za1A	1q95A
1zolA	1o03A
2ai6A	2ozwA
2bnhA	1dfjI
2cjoA	1roeA
2d9eA	2rs9B
2f63A	1eqmA
2fhmA	2hltA
2in2A	2b0fA
2ju3A	2ju8A
2jwwA	1rtp1
2k43A	2k8rA
2l68A	2lkkA
2laoA	1lahE
2lhsA	2bemA
2lkcA	2lkdA
2nlnA	1rroA
2uz5A	2vcdA
4akeB	2eckB
6oy9B	1a0rB
7azpA	4pj1A
